start_node_id,end_node_id,relationship_type
2151365529,1486545284,AUTHORED
2098379432,1607327839,AUTHORED
2075432096,1607327839,AUTHORED
2035224540,1493062108,AUTHORED
2034430715,1493062108,AUTHORED
2118980363,1890547763,AUTHORED
218987050,1890547763,AUTHORED
2284941451,1890547763,AUTHORED
695630297,1536942514,AUTHORED
2106343442,1536942514,AUTHORED
2051130579,1521716811,AUTHORED
2645504127,1557222664,AUTHORED
2103161411,1890449996,AUTHORED
605106185,1890449996,AUTHORED
2109123731,1890449996,AUTHORED
2625580935,1890449996,AUTHORED
2475761490,97703442,AUTHORED
1986729515,1971773085,AUTHORED
437840324,1971773085,AUTHORED
1931511623,1965163152,AUTHORED
2019977874,1965163152,AUTHORED
2801636103,1965163152,AUTHORED
2165898594,1509606339,AUTHORED
2070051019,1509606339,AUTHORED
2159432867,1509606339,AUTHORED
684590367,1531128672,AUTHORED
2114798098,1531128672,AUTHORED
171563863,1496259920,AUTHORED
2104852094,1484059545,AUTHORED
2001121806,1484059545,AUTHORED
2304619042,1484059545,AUTHORED
2166895911,1600993531,AUTHORED
2242511651,1600993531,AUTHORED
1970207042,1600993531,AUTHORED
2640175744,1591035257,AUTHORED
1271351648,1600297185,AUTHORED
2143690299,1600297185,AUTHORED
2001412195,1600297185,AUTHORED
171306905,1600297185,AUTHORED
1185439314,1597549781,AUTHORED
2142757084,1597549781,AUTHORED
2269120092,1847105887,AUTHORED
349804236,1847105887,AUTHORED
2230552497,1847105887,AUTHORED
2138495596,1847105887,AUTHORED
2573551016,1847105887,AUTHORED
2135161809,1984680759,AUTHORED
19031441,1984680759,AUTHORED
259477981,1984680759,AUTHORED
2029324877,1976972725,AUTHORED
2685467844,1551294670,AUTHORED
2107548386,1565369953,AUTHORED
2138923407,1763482972,AUTHORED
2159593723,1572047767,AUTHORED
2036035498,1572047767,AUTHORED
2223377868,1840149394,AUTHORED
1531360938,1840149394,AUTHORED
1969780091,1840149394,AUTHORED
2142935726,1571236476,AUTHORED
2130187483,1571236476,AUTHORED
2044679454,1566214218,AUTHORED
2307737247,1566214218,AUTHORED
2163725506,1566214218,AUTHORED
2191446850,1550971475,AUTHORED
2070444920,1490982477,AUTHORED
2117657652,1490982477,AUTHORED
22805272,1490982477,AUTHORED
2052950829,1537849967,AUTHORED
2106597688,1537849967,AUTHORED
2109123731,1537849967,AUTHORED
129466250,1974716766,AUTHORED
2281442694,1528438050,AUTHORED
2974572215,1612310238,AUTHORED
2974859348,1612310238,AUTHORED
2141392109,1977341827,AUTHORED
2117760922,1977341827,AUTHORED
2952900252,1573068452,AUTHORED
2162104603,1573068452,AUTHORED
2068596995,1573068452,AUTHORED
2129477832,1753324106,AUTHORED
2283228136,1753324106,AUTHORED
1545314461,1500077521,AUTHORED
2097349350,1500077521,AUTHORED
2118632452,1512388984,AUTHORED
2167224813,1512388984,AUTHORED
2688500708,1512388984,AUTHORED
2644681589,1593373400,AUTHORED
2154501644,1982092505,AUTHORED
