start_node_id,end_node_id,relationship_type
1520051037,2754362256,PUBLISHED_IN
1626616782,1175805213,PUBLISHED_IN
1575012312,,PUBLISHED_IN
1512094939,1135668280,PUBLISHED_IN
1758159151,1153524033,PUBLISHED_IN
1687392666,1149998698,PUBLISHED_IN
1593374757,,PUBLISHED_IN
1577743225,1203927539,PUBLISHED_IN
1557218117,1141821850,PUBLISHED_IN
1979346010,118992489,PUBLISHED_IN
1980180432,50368787,PUBLISHED_IN
1515560342,121920818,PUBLISHED_IN
1590823599,1140213147,PUBLISHED_IN
1603832532,2606870472,PUBLISHED_IN
1546029355,1192804102,PUBLISHED_IN
1553233117,1162450063,PUBLISHED_IN
1985368924,186357190,PUBLISHED_IN
1556367165,,PUBLISHED_IN
1520176649,1153524033,PUBLISHED_IN
1877424087,1180646617,PUBLISHED_IN
1985946990,157146593,PUBLISHED_IN
1589559244,1134069326,PUBLISHED_IN
1968204947,89324355,PUBLISHED_IN
1674675511,183885566,PUBLISHED_IN
1599437687,2756309959,PUBLISHED_IN
1985278706,147953040,PUBLISHED_IN
1600560636,2607379586,PUBLISHED_IN
1512229743,106296714,PUBLISHED_IN
1966677764,2759338279,PUBLISHED_IN
1601469507,1191904734,PUBLISHED_IN
1978002064,117153874,PUBLISHED_IN
1975670133,84409463,PUBLISHED_IN
271317462,9954729,PUBLISHED_IN
1986347924,1174403976,PUBLISHED_IN
1487599830,1132800348,PUBLISHED_IN
1973894278,1173951661,PUBLISHED_IN
1594353830,2755927266,PUBLISHED_IN
1690546704,1141821850,PUBLISHED_IN
1495405808,18436875,PUBLISHED_IN
48488267,7020383,PUBLISHED_IN
1597765364,106992369,PUBLISHED_IN
1589253297,1165285842,PUBLISHED_IN
1778545302,1153524033,PUBLISHED_IN
1512639770,1202305278,PUBLISHED_IN
1846253165,1162450063,PUBLISHED_IN
1574030932,1162450063,PUBLISHED_IN
1964089073,110520077,PUBLISHED_IN
1531619743,106296714,PUBLISHED_IN
1713630528,1175805213,PUBLISHED_IN
1968062475,1175089206,PUBLISHED_IN
1726736548,2756386172,PUBLISHED_IN
1519267945,57293258,PUBLISHED_IN
1952648253,1150208541,PUBLISHED_IN
1483134691,1140213147,PUBLISHED_IN
1543832299,,PUBLISHED_IN
1484296207,1140213147,PUBLISHED_IN
1940888119,1148330047,PUBLISHED_IN
1581736958,1182245819,PUBLISHED_IN
1952364572,183885566,PUBLISHED_IN
1980002155,89324355,PUBLISHED_IN
1484364085,,PUBLISHED_IN
1969991082,1184151122,PUBLISHED_IN
1492405878,1198129048,PUBLISHED_IN
1541593857,164884734,PUBLISHED_IN
1531434127,1153524033,PUBLISHED_IN
